label,message,,,
spam,"Kitty Cat,Guess the name of the character. Hint: Its also the name of an upcoming movie starring this character 
Puss in ________
1) Hat
2) Belt
3) Boots
^1/2/3
Reply within 24hrs to get the movie trailer.",,,
ham,"I thnk mere mei hoga..mine r on 9 10 12
",,,
ham,"I put my heart and my soul into my work, and have lost my mind in the process.
",,,
spam,Pay Rs.2042 pm & get 11 lacs+ after 20yrs +riskcover 5lacs + accidental 10lacs + tax benefits.Part/full money back after 3yrs. For details sms SIL LI  to 54545,,,
ham,"If you can't find the right words 4 a certain situation, just give dat person a hug.Words have the potential to confuse,but hugs never lie...$
",,,
spam,"Protect ur Computers against data loss, breakdown, viruses, slow speed & other threats for full year.On-Site Service within 3-4 hrs.Call 9540028076: PelSoftlabs",,,
spam,"Paras Tierea City at Yamuna Xpresway.. Residential Plots@11 lac onwrds. Near Racing Track/night safari.. Sms ICR to 54999 www.investorsclinic.in
",,,
spam,PL UPDATE: Liverpool 1 Arsenal 0. David Ngog strikes past goalie Manuel Almunia into the roof of the net in 46th minute to give lead to 10-man Liverpool,,,
spam,"Hangover Animals,Who do you think are more wild in the film 'Hangover'?
1) The animals
2) The boys
^1/2
Reply within 24 hours to get a trailer of the new film 'Hangover2'.",,,
ham,"Yr tune to craze paida kr dia kal milne ka..:-P
",,,
spam,"or Safe & Secured House or Office Shifting Packers Movers Car Transport Courier Service Any Info with Best Rates 0116222222
",,,
ham,"If People Start Criticising U, Hurting U, Shouting At U, Dont Be Bothered! Bcoz In Any Game Spectators Make Noise, Not The Player. So Play..Nice msg. 
",,,
ham,"i'll just google it...
",,,
ham,"Intzaar
",,,
ham,"I never forget my friends . And u and me hav de same passion so defi it cant be possible 4 me to forget u . At least sm day call me not to scold jus 4 a chat .
",,,
spam,"NOIDA Hottest Property On Express Way * Today Homes Ridge Residency at Sec 135 with2,3,4 BHK available in 2370p/sq. fts *For Query call@9250230534
",,,
ham,"In a bathroom , a boy touches a girl everywhere ! U know whose that boy ? Stupid it's lifeboy soap ! Dirty ppl alwz think drty.. 
",,,
ham,"Instead of thinking about what u are missing,Try to think aboutwhat you have that everyone else is missing.Life will be So happy....:-)Gudngt
",,,
spam,"Dating Online?,",,,
spam,"Cutest Teenstar!,American popstar and actress Selena Gomez gets the most votes from Blyk members for being the cutest teenstar! Didn't get to express your opinion? Try again - which of these teen sensations do you think is the cutest?
1) Miley Cyrus
2) Justin Bieber
3) Selena Gomez
^1/2/3
All replies are free, so vote now to be a part of this Blyk-O-Poll!
",,,
ham,"I m mailin to furr furr!!
",,,
ham,"IRL: I'm sure ki duniya mein sab se badi tumhari Lulli hai! GUY: (excited) Achcha! Woh kaise? GIRL: Kyonki is ke baad Lund ki category shuru hoti hai.
",,,
spam,"No more fear of market fluctuations. Secure your gains by investing in ICICI Pru life policy to get guaranteed returns on maturity and tax benefit. For m
",,,
spam,"Now consecutive 18 circuits left in Bhoruka Alum (506027) till Rs. 30, Buy strongly, visit bse web for bonus details, valuation stays at Rs. 30, Buy in bulk
",,,
spam,"Nakkalon Se Savdhan Asli SMSKi PehchanHamara Har SMSAnokha Naya Orapki Mang KMutabiq hota haiPurane,  Ghise, Pite,  Or BazariSMS Se Parhez Kijiye,  aap ZyadaBore Ho ToHamare No. Pe Rs.100 ka Recharge KarK 500 Asli SMS OrRs.1000 ka recharge Karwa K3 Saal Tak free SMS Receive Kare... Khushi, Gham,  Birthday, Bewafai,  Funny, har variety k liye booking ki jaati hai.. Note : Shadi vivah k liye SMS order per bhi taiyaar kiye jate hai.... 
",,,
ham,"I hv told u stil.. I was vry much worid listng to u always. I thot u l dstroy ur lyf if i gt marid to sum1 else. So thot of leavng so dat u gt stable in ur lyf wid tym.. Bt by drnkn n smkng u made al my eforts go in vain
",,,
ham,"I told u 1 lie dat i didnt remembr d drm.I do remembr it bt its nt d 1 to tel.bcz it can't true,i knw dat.so puchna mat ki kya tha.gn.luv u dr.i m sleping nw.tc
",,,
ham,"I dont know wy he offer tat. I think want to show himself as trendy . 
",,,
spam,"Career Tip,Do you often have the urge to cut or style yours or someone else’s hair?
^Yes/No
All your replies to Blyk on Aircel are free.",,,
ham,"Who Is The Most HARDWORKING Guy in MTV Roadies Except Raghu, Rajeev & Rannvijay..?? . . . . The One Who Operates The BEEP  BUTTON.;-) 
",,,
ham,"i need u to tell me wot hapnd in colg, whether i shud order my cake or u will manage, wot n all wil v hv to drink n hw will u get all of it including champagne. n if ur coming wid me in d morning or nt? AND ALL OF THIS IS URGENT AND IMPORTANT, SO CALL ME ASAP!!!
",,,
ham,"I wish u & ur family a very happy and prosperous new year 2011. May God be kind enough to bless you with joyous & blissful life.
",,,
spam,"NITECH launching NEW Residential Project-Sector 69-Gurgaon.2 and 3 BR Aptts.Budget 45 to 65 Lacs.3 yrs Possession.4 Details Pl SMS your email Id on 880041889
",,,
ham,"If psbl wk me at 7.
",,,
spam,"Make your career recession proof with 1 year Executive Master program in
",,,
ham,"Hw ws d video? 
",,,
spam,"New Arrivals !!! Madame coats,  jackets,  sweaters and sweatshirts for women. Arrow Coats,  sweaters and jackets from Men @ Thar Acade,  Kazi Road.
",,,
spam,"PEOPLE Family Store-Fashion for the street announces Monsoon Bonanza. Buy 3 Get 2 FREE,  Buy 4 Get 4 FREE. PEOPLE  5/45, AjmalKhanRoad Karolbagh. PH-45097543,69",,,
ham,"Interview ke liye kya lana padta hai? Just resume and mark sheets na? Mark sheets original ya photocopy? Any suggestions?
",,,
ham,"i thot cuz u were late 2day! i thot u wudnt cum! nd du u watch a lot of fbi serials? u r talkin lyk a fbi agent!
",,,
ham,"I started callin him. But he is not carin
",,,
spam,"orge on ur favorite Dominos Pizza while screaming GOAL this soccer season.Order Online @ www.dominos.co.in Get Garlic Brd & Dip Free on bill of Rs300.Cpn:Net0
",,,
spam,"Medicinal Plants - 1,There are certain plants that can enrich your life...
Choose to know more about them:
1) Tulsi
2) Neem
^1/2
All your replies to Blyk on AIrcel are free.",,,
spam,"Opportunity to Own a flat next to golf course for just Rs.15 lakhs. AMRAPALI launches 'GOLF HOMES' at Smart City,  Noida xtn. *2/3 bhk flat Sms IL to 54999
",,,
ham,"I wana cry too..There are jus so many diversionz...!!
",,,
spam,"Broken Hearted?,Want to break up with your boyfriend/girlfriend, but can't talk about it? Choose a song to convey your emotions!
1) Bhaag DK Bose
2) Jaa Chudail
3) No girlfriend/boyfriend
^1/2
Reply with your option number within 24 hours to get a video.",,,
ham,"i already said that i won't ping you any more on fb (for now). you still had to go offline? :/
",,,
ham,"If you were Santa claus, what would you leave under the X'mas tree for me?..rly is must.
",,,
spam,"Mobile par ab bharpoor mazaa. Visit www.channel99.in Main Attraction: Glamour, Greetings, Cricket, News, GitaSaar, Wallpapers Free viewing. Sirf GPRS charges.
",,,
ham,"IN UR FRND CRCLEsbse sweet-sbse sidha-sbse feku-sbse cute-sbse frank-sbse selfish-sbse kamina-sbse special-sbse hot-ur fav-rply must fastjarur krna
",,,
spam,"Mast Kalandar wishes a colourful Holi ! Live THANDAI with SATRANGI FEAST and GUNJIYA. SMS GUNJIYA to 9886033322 to get one FREE. Happy Holi @Mast Kalandar
",,,
spam,"Rising Star: Rohit Ferro (NSE/BSE) CMP 50 TRGT 80+, EPS 8, PE 6, Dividend 5%. Stock ready to soar. We recommend BUY with a SL 46",,,
ham,"ilence & smile r 2 powerful tools... Smile is d way 2 SOLVE many problems silence is d way 2 AVOID many problems... So hav a silent smile always... GudmrngB-
",,,
spam,Roti Kapda aur Eco Village Noida Extn *1BHK9.8Lacs al inclusve *2BHK14.5Lacs al inclusve *8min 4m Fortis/metro statn *Possesn15mths *Max disc Call:981867881,,,
ham,"Indian wife sanskaro wali hoti hai.., Wo sabke samne apne pati ko Abe Gadhe nhi kehti.. Isliye short me kehti hai.. . . . . . . . . A.G. sunte ho..!
",,,
spam,Wanted Computer Operator Male/Female for Data Entry Work at Own Home(PART TIME/FULL TIME). Email Your Resume to  homejobsindya@gmail.com,,,
spam,"Roti,  Kapda aur Eco Village-2 by Supertech Noida Extn. 1/2/3/4 BHK Appts Best Location,  Best Price,  Nimbus Realtors,7838359609, sms (NIMBUS to 54545)",,,
ham,"i am msng u a lot.. Msng teddy too.
",,,
spam,PS LOW RISE FLOORS-SEC-88 FARIDABAD.3BHK/STORE/LAWN /TERRACE GF RS. 35.89 LACS FF RS. 31.89 LACS SF RS. 31.89 LACS(ALL INCLUSIVE). call:9310815100,,,
ham,"i'm very afraid of what you'll think and do once i tell you.
",,,
spam,"Paras Tierea' Fully furnshd Service apprtmnt*at Sec137, Noida Xprsway @15.75 lac al InclusiveLimitd Editionsms IP to 54999",,,
spam,"MTS HighSpeed Internet DATA Card Free with 3 Months Advance Rental and Also Very Attractive Monthly Plans Available with Assured Gifts Pls Call 8884572124
",,,
spam,Recharge Rs111 & get Full Talk Time of Rs111 with Unlimited validity .Recharge Now & Stay Connected with AIRCEL.T&C Apply.,,,
ham,"I Live By Faith & Not By Sight .. So Whether I See U Or Not, Talk To U Or Not I Know That U R Still The Same, A Friend Worth Keeping Till The End.... :-) 
",,,
spam,"ongratulations! U have won a discount voucher fr being a loyal member.Claim this voucher right now against our spl Numero Uno combo offer-Sunglasses+Watch (Total MRP:Rs5200).Just pay Rs 999.Also get a surprise gift wrth Rs 5000.Del charges Rs 199.To order sms TEAD to 52424.TnC appl
",,,
spam,"WHY GO FOR NORMAL WHEN YOU CAN GET GOLF PLOTS ON X-WAY! Last few Golf Plots 150sqyd onwards @ONLY 24.3LAC. 9hole Golf Course, reputed developer. sms WA to 56677
",,,
spam,"What were you in your past life? find out your inside past. SMS Past to 55352. ex: SMS as Past 15/08/1975 to 55352. Rs.3/SMS
",,,
spam,"Original booking open for small sized Plots (100 Sq Yds) at yamuna Expressway for 3c and greenbay options,  Best deals assured,  Property Corporates 9711131802 /3
",,,
ham,"I sent my cares 2 d wind n asked it 2 pass them 2 u.So when u feel d Wind Blowing against ur Face.. That's Me saying Take Care...
",,,
ham,"I m at jeeto.takin iccrms.
",,,
spam,"MONAZ: -*A child is a person who cant understand why someone would give away a perfectly good kitten..* -Doug Larson . (Ad) Get naughty,  sms TJ to 56677
",,,
spam,"Make Investment in METLIFE Insurance
",,,
spam,"Matcehs are made in heaven we are the gateway for that visit www.ghmatrimony.com reg free TOLL FREE 18001036336 ISO9001:2008 C29700
",,,
spam,"Now Get*SAUNA SLIM BELT(Rs650) &*VIBRATION+SAUNA BELT(Rs999)*NCR(Rs50 Extra)*Lose FAT(5 inch)+FreeSLIM.TEA *Ph:9311304872/9268250573
",,,
spam,REE Gift this festive season fr members.Get FREE BENETTON WRIST WATCH MRP2600.Only pay Rs499 handling charges on delivery.To claim sms TWCH to 567678.TnC appl,,,
spam,"Home Remedies,Want some home remedies to remove body scars?
^Yes/No
All your replies to Blyk on Aircel are free.
",,,
spam,Rs224 ke recharge par full talktime! Recharge par Rs203.08 aur Rs 20.92 ka talktime 48 ghante mein. Talktime 30 din ke liye calls par manya. Offer 12-Jan-11 tak,,,
ham,"I am manoj.My new no. 9802414624 
",,,
ham,"I studied but never topped,Today toppers of best Universities r my Employees. -Bill Gates . Bas.. . Yahi statement mujhe top karne se rok deti hai...! ;)
",,,
ham,"In way
",,,
spam,"Our daughter saloni is celebrating her birthday on 16th January(sunday) from 11:30 a.m - 2:30 p.m at Rockland Hotel B - 207,  Chitranjan park,  Outer ring road near Pomposh EnclaveYour presence would certainly make this event enjoyable !!       Neelu Varma - 09650522599       K.M Varma - 0997173440",,,
spam,"Plan Sanction as per MPD2021 X-Tra Floor X-Tra Area DDA MCD DSIDC HUDA:Gurgaon Faridabad Noida HI-TECH ARCHITECTS 9212012222 65657777  hi_tech@in.com
",,,
spam,Pune Warriors aur Kochi Tuskers Kerela ke dumdaar match ka maza uthaye apne mobile pe. Abhi Video call karein 58888 pe¡Rs2/min,,,
ham,"i can't wait for your msg card to get activated. for all those situations when you can't talk. waise is this the same abhishek with whom you had a minor fight last week? tell me when you call me.
",,,
spam,"Which Superhero?,Check out the attached pic- can you guess which popular DC Comic superhero wears this symbol?
1) Superman
2) Batman
3) Green Lantern
^1/2/3
All your interactions to Blyk on Aircel are free.",,,
ham,"I lyk u wen u r hot. I luv u wen u r at bed. U make me feel gud wen my  lips touchs u. I luv u. I luv u..I luv u. I luv u i realy luv Nescafe khush 
",,,
spam,"Guinness Record!,World’s most pierced women! Can you guess how many piercings she has?
1)	3950
2)	5920
3)	6725
^1/2/3
Reply within 24 hrs to know the right answer.",,,
spam,"Pay Premiums for 10/15 yrs. Get guaranteed tax-free Money Back at regular intervals & Life Cover,  upto 100 years!! To know more,  sms RN to 56070. T&C Apply",,,
ham,"I knw.. U just b hapy
",,,
spam,"NewOffer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED) Rs.1050/-(free home delivery) 3Yrs. Guarantee Call 9911418813,9718201099
",,,
ham,"i jus wana kno wen cn i tok to u?!?!? :(
",,,
spam,reat Investment with assured return *Commercial space by AIMS Sanya *0km frm Delhi *Nr Metro Station *Sec-15 Noida @ 9500/sqft Call 995309696,,,
ham,"If an egg breaks due to a force from the OUTSIDE, The life inside ends!  But if it breaks from the INSIDE, The life inside begins!  GREAT things always begin from within.  So try to make yourself GOOD from within! 
",,,
spam,"Pierced Men-Results,",,,
spam,"Now Send Messages on DND Number Tension Free. Services at very attractive prices. For Booking Contact @ 09350073232
",,,
ham,"Ironical Thought So TrUe :- Loneliness is a Special Enjoyment When Chosen by Ourself...:-) Bt Hard 2 Digest When Gifted by OthErs.. 
",,,
ham,"I took u as my frnd, I locked U in my Heart. But now that  key has missed. So I m very hppy bcoz UR safe in my Heart till my Heartbeat stops.G'd ev'g!
",,,
spam,"njoy unlimited internet surfing at night (upto 2GB) and 100MB download from 8am-11.55pm for 30 days. Recharge with just Rs95! Charges post free usage 30p/50K
",,,
ham,"I don wana pester u or netin. Bt jus kind of wish u wud tok 2 me nicely once. Tho if i think logicaly,mayb der is nth 2 tok. Bt i don wana accept tht. It seemed lyk sth ws bothering u. N i wana ease off tht burden on u. In woteva way possible. Sumhw m nt hapy tht mum dad r bck either. Id rather stay alone ryt nw. Or be wid u is wot i wan. Der is sum sort of uneasiness/restlessness inside me,vich i'm nt able 2 identify. I din wana disturb u by calling. Thts y i msgd. I hope dis din bother u. Luv u. Tc. :*
",,,
ham,"In Life We Somtimes Feel That All Doors r Now closed 4 Us If That Happens In Yor Life, Remember These Words- A CLOSED DOOR ISN'T ALWAYS LOCKED...
",,,
ham,"i MIGHT have a chance in TCS for internship. dad just called. he's just landed at the airport and now directly going to jaipur.
",,,
ham,"Whnevr u feel sad,think of me n say akanksha is so swt,inteligent lovable,caring.U'll smile automaticaly.Know Y?Kyunki SACH BOLNE SE MANN KO HUMESHA SHANTI MILTI HAI... :P
",,,
ham,"Why dere ws no need? Bad mein mein hi fasta 
",,,
spam,PL UPDATE: AT FULL-TIME: Aston Villa 3 West Ham 0; Blackburn 1 Everton 0; Bolton 0 Fulham 0; Sunderland 2 Birmingham 2; Blackpool 4 Wigan 0; Wolves 2 Stoke 1,,,
ham,"i dono if it evr hapns to u or nt. sumhw i ws/am feeling prety rattled. like m unsure abt so mny things n evn a lil scared. newyz. wud be nice to wake up to a reply from u. tc.
",,,
spam,"MBA+PGPM+SAP+PDP+LAPTOP. Fee 3.85 lacs. Register yourself for telephonic interview before 31st August. Limited Seats. Contact 08095370070 ,9886354542
",,,
ham,"If a woman is quiet,which day is it..?Ans:- Who cares,just enjoy the day yr...!!its very rare.. :p :D
",,,
ham,"Who is teaching?
",,,
ham,"I knw u at home toh baat karna mushkil h. Bt aaj i m happy ki hmne phr b baat ki kafi der tak. So agar mom dad sath me hon to no need to cal kk.
",,,
spam,Recharge Alert from MTS: Validity of expiry on your MTS Data Card has already EXPIRED. Recharge with monthly STVs to continue usage - MTS,,,
ham,"hy were engg students happy after watching 3 idiots?? Ans: Ab delivery doctors nahi engineers karayenge!! One more source of placement after engineering!!
",,,
ham,"Indian Team Penalised by Animal Activists for Hunting 11 Kangaroos yday.. Team To Pay Penalty by Hunting 11 terrorist Next Wednesday...mission begins. Jai Hind 
",,,
spam,Recharge with Rs47 and get 500 Local/National SMS/day for 30 days,,,
spam,"MTS HighSpeed Internet DATA Card(Speed upto 3.1Mbps)Only @Rs 777/-Get limited & Unlimited Plans @Unbeliveable Price Call 9141032639
",,,
spam,"Riders On The Storm,Can Jenson Button catch up with Sebastian Vettel this season?
^Yes/No
Reply within 24 hrs to get a video clip.
",,,
ham,"I don like us fighting. It messes me up. :( abhi i lost my temper in traffic, n evn tht gt directed at u in d form of nasty thots coz of last nyt... N honestly, i knew helping u ws kind of  due last nyt, bt u jus ruined it so mch. I don get it. Y aren't u telling me all about it? If u don't trust me wid dis info, who else will u trust wid netin else? N plz, stop threatening me! :( stop hurting d ppl who care abt u...weder its me or ur parents. I jus hope things will be betr 2day...waiting...
",,,
ham,"I thought i m in love, My nites going sleepless My days going useless So i asked GOD Is dis LUV? God replied No Dear Sylabus zyada h aur tujhe kuch nhi aAbhi na mujhe dafnao yaaro, Mere dosto ko zara der se aane ki aadat hai, aur Abhi na daalo mere chehre par kafan, Unhe ye chehra dekh kar muskurane ki aata hai. dat hai.:-):-):-( 
",,,
ham,"I m near canteen. Gng to hostel. Wil stdy aftr lunch kk.bye.
",,,
spam,"Or.Booking *Mapsko Royale Ville* Sec82, NH8 GGN-1790/2300 sqft 3/4BHK+Servant@2990/sqft Avail inaugural disc Booking amt-4/5 lac SMS KR to 56767 9911116942
",,,
ham,"i like the fact that you're going home. :) take care.
",,,
ham,"If anyone calls u saying he/she is from mobile co. & asks u 2 type #09 or #90 while the call is on,PLEASE DO NOT D0 S0 & SIMPLY DISCONNECT ., b'coz this is the new trick of pak jihadis 2 find out ur sim card no. Which they can  make use of. This thing is comfirmed by NOKIA & MOTOROLA. Also can b verified from CNN website. Pl . Inform 2 as many as u can. Thanks.. 
",,,
spam,"mrapali Proprty Platter(Noida) *Princely sec76@21 lac *Zodiac sec120@23 lac *Castle G.NDA@16.6 lac *Platinum (possesn soon) sec119@25 lac sms ICF to 5499
",,,
spam,"Property Buyer/Seller Agents/Dealers Advertise Free,  New Launch & More on Landkhoj.com",,,
ham,"I dont remember anythin . U r very late to give reply . Its k .i ll ask u from de first . Dis time reply fast .
",,,
ham,"I MISS U.. Lekin pta hai miss to school mei hoti hai. School mei to bache hote hai. Bache to chote hote hai. Choti to chiriya hoti hai. Chidiya to udti hai. Udta to kawwa bhi hai. Kawwa to kaala hota hai. Kaali to billi bi hoti hai. Billi to sher ki khala hai. Sher to jungle mei rehta hai. Jungle mei to haathi bhi rehta hai. Hathi to bahut bda hota hai. Bda to samandar bhi hai. Samandar to neela hota hai. Neela to asmaan bhi hota hai. Asmaan par to taare hote hai. Taare to chmakte bhi hai. Chmakta to heera bhi hai. Heera to mehnga hota hai. Mehnga to sona hota hai. Sona to raat ko hota hai. Raat ke baad toh subah hoti hai. Subah to naashta krte hai. Nashte mei to bread hota hai. bread 2 rang ka hota hai. 2 rang ka toh zebra bhi hota hai. Zebra to ghode jaisa hota hai. Ghoda toh tanga chlata hai. Taange par bache school jate hai. School me to miss hoti he. Miss se yaad aaya.. ''I MISS U''...;-P 
",,,
spam,Your wait is over!  Releasing limited Golf Plots on X-way by reputed developer. 150sqyd onward. For priority booking sms BOP to 56677,,,
ham,"If 1=5 2=25 3=125 4=625 5=? Think b4 scrolling down. Ans=1 How? See the 1st line. Conclusion: Dont Complicate Simple Problems in life. 
",,,
spam,"on't miss the Fantastic Offers at The MobileStore this month. 2 ASSURED GIFTS & Rs 100 OFF on Mobiles. Hurry! Rush Today! Show mcoupon RPD897348602131 T's&C'
",,,
spam,"Pay Rs 160 to enjoy Biryanis,  Kebabs,  Curries and more worth Rs 350 at Deez Biryani (5 outlets across Delhi/NCR). To get this deal,  visit www.snapdeal.com",,,
spam,"Rs250 ke recharge par Rs250 ka Full Talktime! Yeh talktime 30 din ke liye valid hai. Talktime sabhi Local,  STD,  ISD call ke liye manya.",,,
ham,"yr y u sayn so  i mean hv i ever given u ne such hint dt u feelin so! i mean i respect ur feelin bt u knw i cannot supprt u fr dz! so betr v dnt talk abt dese thngs! 
",,,
spam,"In The Name of Fashion!,Want to know about a bizarre tradition Chinese followed in the name of fashion?
^Yes/No
All your interactions with Blyk on Aircel are free.
",,,
spam,"Make your career recession proof with 1 year Executive Master program in Information Security,  Get qualified for 1,88,000* Jobs. SMS or Call MS @9717470558
",,,
ham,"Im not tellin him to change his usual habit but wants tat some habit should be add in him. 
",,,
spam,WORLD-CUP BONANZA! Get Airtel digitalTV with FREE Home Delivery & Installation +4 Month Subscription +Rs250 Cashback @ONLY Rs1590! Reply DTH for more info,,,
spam,"Offer only for 1st 51 customer Earn 50, 000 in One Shot in Stock&commodity..FOR MORE DETAIL SMS ACCURATE TO 9243000111.
",,,
spam,"Champions League,Manchester United will clash with which European team in the final of the Champions League?
1) Chelsea
2) Barcelona
3) Real Madrid
^1/2/3
All your replies to Blyk on Aircel are free.
",,,
ham,"If People Criticise u, Hurt u, Or Shout at u, Dont be Bothered. Just Remembr one Thing, In Evry 'Game' Audience make the Noise,Not the Players.
",,,
spam,"WHATS YOUR NUMBER CONTEST, Get15 Grams SilverCoin on 1case & Get15 Grams Silver + Titan WristWatch on 2cases subject to min prem.of 10K.....-160by2.com {Catch the legendry detective SHERLOCK HOLMES in an all new avatar. In cinemas 8 Jan'10}
",,,
ham,"I M FROM MTS PLZ SEND UR EMAIL ID.AND UR OTHER COMTECT NO.KHUSHIAnees khan.
",,,
spam,"Mubarak ho! Aapko diya ja raha hai Mitti Ke Rang Service Ka FREE SUBSCRIPTION. For more details Dial 543340 Toll-Free
",,,
ham,"I ws rdy at 7.5 nd ye log ab ghuse h tayar hone. Wat u dng?
",,,
ham,"I am throwing my placement party tomorrow. All will leave fom hostl gate at 12 noon sharp.
",,,
ham,"If Gandhiji w0uld have ever th0ught ab0ut d0ing BDS He w0uld have definitely added a f0urth m0nkey with hands pr0tecting its ASS..! ;p 
",,,
ham,"ice sayin. . Its alwyz nt abt buzy... Its alwyz d priorities
",,,
spam,"MTNL layein hai discount coupons on Food,  Travel,  Health and Beauty. sms karein SUB DISC to 53737 aur payein 15 discount coupons at Rs. 15 per month.
",,,
spam,"Mgt. and Cost A/C BY Colin Drury,  Thompson Learnings.
",,,
ham,"IMAGINE u n me joined NASA AFTER 1 MONTH, they will change their name frm NASA to SATYANASA ;-)
",,,
spam,"Put on the glasses of optimism and you will see a world of potential. With Best Regards  Times Business School,  New Delhi. 011-46574657,  www.times.ac.in.",,,
ham,"Huz in clas? Regular stdiez on or smthn?!?
",,,
ham,"ireshark 2ndpar
",,,
ham,"Who am i?A STEP wn u stop. . A HAND wn u r lost. . A WORD wn u r quite. A SMYL wn u r sad. . A SHOLDER wn u cry.Far frm u bt a FRND under the SAME SKY! 
",,,
ham,"i wish u wudv jus waited for me to wake up insted of waking me up. nw iv jus woken up nw. n m too late to go c my ppr which ws being shown from 3-4pm. :(
",,,
ham,"I hav to get up at 5.30. My room mates ll come to wake me
",,,
spam,"ne in those 53%. Your hair is an important part of your personality. Take care of it. For appointment sms MEDIC to 58888
",,,
spam,"Opportunity to receive upto 63 lakhs on investing Rs.30,000 yearly for 30 years with Capital Multiplier plan of Kotak Life Insurance. sms KI to 56070 T&C apply!
",,,
spam,"New Winter Wear Added @ Thomas Scott,  BUY 1 & TAKE 3* + 1* Free OR FLAT 60% OFF @ M.G Marg ,  Above Pawan Mega mart , Gangtok
",,,
